Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:18:04.789,,23.4446596512394,,,0.0840009221666666,13.9445014917222,,,132.88666983425,,3.5932711869895,62,
18-09-2020 18:18:04.835,,,,,,,4046,,,,,,
18-09-2020 18:18:04.879,,,,1.30588235294118,,,,,,230.588235294118,,,
18-09-2020 18:18:04.924,,23.8728085379904,,,0.086425368,13.9469259375556,,,154.63360569728,,4.10875884667139,65,
18-09-2020 18:18:04.970,,,,,,,4181,,,,,,
18-09-2020 18:18:05.014,,,,1.29411764705882,,,,,,229.411764705882,,,
18-09-2020 18:18:05.059,,24.3174862469629,,,0.0889525075,13.9494530770556,,,170.196019078881,,4.45207034627313,67,
18-09-2020 18:18:05.107,,,,,,,4275,,,,,,
18-09-2020 18:18:05.152,,,,1.29411764705882,,,,,,229.411764705882,,,
18-09-2020 18:18:05.201,,24.7821006210868,,,0.0916265432777777,13.9521271128333,,,171.245472120626,,3.9109329602929,68,
18-09-2020 18:18:05.354,,,,,,,4412,,,,,,
18-09-2020 18:18:05.559,,,,1.27058823529412,,,,,,227.058823529412,,,
18-09-2020 18:18:05.761,,26.7706649929769,,,0.103146415166667,13.9636469847222,,,207.737003853629,,3.42952322905251,74,
18-09-2020 18:18:05.962,,,,,,,4879,,,,,,
18-09-2020 18:18:06.126,,,,1.28235294117647,,,,,,228.235294117647,,,
18-09-2020 18:18:06.194,,28.4097555953967,,,0.112873277666667,13.9733738472222,,,265.249987303461,,3.49943910989947,81,
18-09-2020 18:18:06.241,,,,,,,5168,,,,,,
18-09-2020 18:18:06.287,,,,1.24705882352941,,,,,,224.705882352941,,,
18-09-2020 18:18:06.334,,28.9293340998595,,,0.116062836222222,13.9765634057778,,,271.41265848504,,3.26961481818731,82,
18-09-2020 18:18:06.382,,,,,,,5265,,,,,,
18-09-2020 18:18:06.427,,,,1.23529411764706,,,,,,223.529411764706,,,
18-09-2020 18:18:06.473,,29.4553656353666,,,0.119312912888889,13.9798134824444,,,292.528507410403,,3.49383211979442,84,
18-09-2020 18:18:06.518,,,,,,,5361,,,,,,
18-09-2020 18:18:06.563,,,,1.21176470588235,,,,,,221.176470588235,,,
18-09-2020 18:18:06.611,,29.9751419692549,,,0.122565322194444,13.98306589175,,,303.340525791265,,3.59687562565199,85,
18-09-2020 18:18:06.658,,,,,,,5451,,,,,,
18-09-2020 18:18:06.707,,,,1.17647058823529,,,,,,217.647058823529,,,
18-09-2020 18:18:06.755,,30.5300569550479,,,0.126061045027778,13.9865616145833,,,315.114474573079,,2.96742966998799,87,
18-09-2020 18:18:06.801,,,,,,,5564,,,,,,
18-09-2020 18:18:06.847,,,,1.14117647058824,,,,,,214.117647058824,,,
18-09-2020 18:18:06.893,,31.0579417674742,,,0.129429619027778,13.9899301885833,,,325.369238164083,,2.97856641479313,88,
18-09-2020 18:18:06.952,,,,,,,5645,,,,,,
18-09-2020 18:18:06.997,,,,1.12941176470588,,,,,,212.941176470588,,,
